,Unnamed: 0,dias,fatorec,fatorev,neuronio,interação,acc_train,acc_test,test_acum,dif_acc,sharpe,DD_Max,DD_Mean,DD_std
514,0,1,0.25,0.25,128,500,0.5269613515389956,0.4451388888888889,46.78261983062982,0.08182246265010673,1.0851040527985163,8.622697465736309,2.075588012441582,1.771204017213358
518,0,1,0.25,0.25,129,400,0.4834529044202731,0.4444444444444444,42.300485765282396,0.03900845997582869,0.7101554766655398,11.913021065161637,2.5500144684592843,2.43897369490775
519,0,1,0.25,0.25,129,500,0.4945614441101597,0.44027777777777777,47.096842926496464,0.054283666332381915,0.6168342687239513,15.270501434340213,2.9868256213326347,3.3886187984610383
524,0,1,0.25,0.25,130,500,0.4735015042814164,0.43472222222222223,30.128916166072134,0.03877928205919412,0.6609657576208178,9.116634506006124,3.110699761609092,2.1935334866612233
533,0,1,0.25,0.25,132,400,0.5003471418653089,0.44166666666666665,32.44959211730184,0.05868047519864227,0.64481686430699,10.06474672531299,2.2828645967373262,1.915832411071077
534,0,1,0.25,0.25,132,500,0.5160842397593149,0.4430555555555555,41.64807907994442,0.07302868420375941,0.7161813622880482,11.630595620887869,2.2146165846964565,2.1320210609374466
538,0,1,0.25,0.25,133,400,0.4876186068039806,0.4263888888888889,32.417217410306435,0.061229717915091686,0.5743526306489117,11.288262882571287,2.933663737196781,2.5370080214047785
539,0,1,0.25,0.25,133,500,0.5112242536449896,0.4354166666666667,33.382144995037216,0.0758075869783229,0.6686370097256293,9.985132294347675,2.5031473167907747,2.2617562161715687
542,0,1,0.25,0.25,134,300,0.5179356630409627,0.4319444444444445,26.655673741718275,0.08599121859651826,0.5438255779169064,9.803023183948556,2.558557286893525,1.9922895595782013
552,0,1,0.25,0.25,136,300,0.4744272159222402,0.4506944444444445,38.05828016016884,0.023732771477795792,0.5759256210489868,13.216387244884073,4.184257700327037,3.4212491908254914
553,0,1,0.25,0.25,136,400,0.4899328859060403,0.4583333333333333,60.69818525502439,0.03159955257270697,1.0195705908677202,11.906617511077153,2.772397279803207,2.668886915122283
554,0,1,0.25,0.25,136,500,0.4984957185836612,0.4576388888888889,66.26150971637882,0.040856829694772334,1.431170713070165,9.259763228976901,2.4484342252924485,2.214630298867841
564,0,1,0.25,0.25,138,500,0.5202499421430224,0.4368055555555556,39.97582474863656,0.08344438658746689,0.798850469141141,10.008337302878553,2.466137860158002,2.4513985871550465
568,0,1,0.25,0.25,139,400,0.4952557278407776,0.4430555555555555,24.793881633090077,0.052200172285222064,0.6089931584155754,8.14258133789109,2.439259101002583,1.859914648237085
569,0,1,0.25,0.25,139,500,0.5068271233510762,0.4451388888888889,32.801365486105304,0.0616882344621873,0.5841440461949089,11.230574273510824,2.8328592225763245,2.3715590082324316
571,0,1,0.25,0.25,140,200,0.5216385096042583,0.4465277777777778,37.28585460950243,0.07511073182648048,0.6711814187476569,11.110514554790061,3.4208677960353278,2.4556500285656586
573,0,1,0.25,0.25,140,400,0.5681555195556585,0.4430555555555555,35.94711883114848,0.12509996400010293,0.5626552117346911,12.777672038377434,4.108235840984486,2.7868197933559244
574,0,1,0.25,0.25,140,500,0.5811154825271928,0.4479166666666667,44.80850789561521,0.13319881586052612,0.6577803970014736,13.624154231374824,3.685746458526181,2.9040180567242286
584,0,1,0.25,0.25,142,500,0.5339041888451748,0.4354166666666667,29.387097601137427,0.09848752217850808,0.522522180908349,11.248172297700775,4.17819111630989,2.7339080772290982
587,0,1,0.25,0.25,143,300,0.4880814626243925,0.4409722222222222,28.060299453244863,0.04710924040217029,0.5147406950953465,10.902693228110593,2.6407512649878004,2.4806229069875965
588,0,1,0.25,0.25,143,400,0.5017357093265448,0.44722222222222224,37.333957500921656,0.05451348710432252,0.7590258532520294,9.837334878901727,2.1232390907557592,1.8509995984681449
589,0,1,0.25,0.25,143,500,0.5135385327470493,0.4534722222222222,42.71174276373666,0.060066310524827075,0.8900985481209964,9.597081773451134,2.0657733121171344,1.8523076790685282
592,0,1,0.25,0.25,144,300,0.4968757232122194,0.4388888888888889,32.832767212139764,0.05798683432333052,0.7164184647680184,9.165807088116091,2.914905063195408,2.1849121534201843
